OPEID,INSTName,State,StateNO,UGDs,SAT,PCTPELL,Salary,SalaryRate
00214600,Emerson College,MA,20,3720,1240,0.1702,44800,0.63212925195693
00214700,Emmanuel College,MA,20,2040,1090,0.2337,42400,0.74880760908126
00214800,Endicott College,MA,20,2621,1070,0.1575,42800,0.76408451795578
00215000,Fisher College,MA,20,1733,825,0.5754,28200,0.55894309282302
00218400,Fitchburg State University,MA,20,4148,987,0.3416,42100,0.67773789167404
00218500,Framingham State University,MA,20,4255,1040,0.2829,43200,0.6787109375
00215300,Gordon College,MA,20,1681,1156,0.2213,41600,0.64235293865203
00215500,Harvard University,MA,20,7278,1501,0.1016,87200,0.87620770931243
00215800,Lasell College,MA,20,1667,974,0.319,40900,0.69872957468032
00216000,Lesley University,MA,20,1785,1065,0.2621,36700,0.53871500492095
00216100,University of Massachusetts-Lowell,MA,20,11830,1132,0.2989,48900,0.72636103630065
00222100,University of Massachusetts-Amherst,MA,20,21672,1209,0.2513,49600,0.73135089874267
00222200,University of Massachusetts-Boston,MA,20,11786,1015,0.3831,45800,0.69711536169052
00216500,MCPHS University,MA,20,3808,1094,0.3009,116400,0.92691624164581
00218000,Massachusetts College of Art and Design,MA,20,1861,1081,0.2565,34000,0.47974413633346
00217800,Massachusetts Institute of Technology,MA,20,4510,1503,0.1825,91600,0.87272727489471
00218100,Massachusetts Maritime Academy,MA,20,1362,1051,0.186,79500,0.84146338701248
00219300,Mount Ida College,MA,20,1261,880,0.3925,34700,0.61034482717514
00748400,Newbury College,MA,20,961,850,0.5043,38300,0.64705884456634
00219700,Nichols College,MA,20,1260,940,0.3502,47100,0.69432312250137
00218700,Massachusetts College of Liberal Arts,MA,20,1483,1032,0.4513,36400,0.55728155374526
00219900,Northeastern University,MA,20,13204,1394,0.1424,60100,0.82169812917709
00214000,College of Our Lady of the Elms,MA,20,1308,928,0.3967,43700,0.75718849897384
00220100,Pine Manor College,MA,20,221,760,0.6562,34700,0.52601158618927
00220600,Regis College,MA,20,1188,954,0.3577,43300,0.75778543949127
00218800,Salem State University,MA,20,7134,986,0.3339,40400,0.67922437191009
00220800,Simmons College,MA,20,1710,1149,0.2573,51400,0.79460269212722
00221100,Springfield College,MA,20,2157,1029,0.2192,45100,0.71928620338439
00221000,University of Massachusetts-Dartmouth,MA,20,7202,1061,0.3799,44800,0.69057548046112
